LEVEL,PART NO.,Design No.,QPA,Part Type,DESCRIPTION,MFG PART,Vendor PN,ITEM TEXT
3,102110U0M5190HFT,SC12,1,電容,電解電容 10uF/450V ±20% 105℃ ￠10*20mm 腳距:5.0mm 5KH SEA series ,,Su'scon,
3,102112U0M4070HFT,SC20,1,電容,電解電容 12uF/63V ±20% 105℃ ￠5*11mm 腳距:2.0mm  4KH HF series ,,Su'scon,
3,1040701311600HFT,D11,1,二極體,SiC Diode 20A/650V TO-247-2L,FC06020E-2,FSS,
3,1040902066800HFT,D27,1,二極體,Schottky Diode 10A/1KV  R-6,10A10,矽潤,
3,2213600470200HF0,ST10,1,高頻變壓器,高頻變壓器 EE2217 Lm  800uH,,晨朗,
3,2213600480200HF0,T11,1,高頻變壓器,高頻變壓器 EPC54 雙槽Bobbin Lm : 550uH LK : 55uH,,晨朗,
3,1093006720500HF0,F10,1,保險絲,陶瓷慢斷雙帽保險絲 5H 15A/250V5*20  帶引腳(長腳),,旭程,
3,MBNCMNPRT0000N10,F10,1,套管.LED支架,J4T8 56,,,
3,1080101412300HFT,Q12.Q13.Q11.Q16,4,場效應管,40A/650V TO-220F-3L RDS ON 72mΩ,SJMN088R65F ,AUK,
3,1080101560400HFT,Q14.Q22,2,場效應管,80A/150V TO-220F RDS ON 9.6mΩ,PDF130ND15BH,Potens,
3,1080101570400HFT,Q17.Q18,2,場效應管,95A/100V TO-220F RDS ON 3.6mΩ,PDF09C2BH ,Potens,
3,1041002248300HFT,BD10,1,整流橋堆,整流橋堆 35A/1000V GBJ3510A,GBJ3510A,矽潤,
3,MRNCMNPRT0000N10,FOR D11,1,絕緣片,矽膠片  26*21*0.3MM (TO-247),,海新電子,
3,MHHCQ01001011F10,HS1.HS2.HS3,5,散熱器,I型散熱器 40mm*50mm*6mm T=2.0mm 材質：鋁 C22B01H100-01,,同潤,
3,MHHCQ01001020F10,HS4.HS5,2,散熱器,散熱器 62mm*15mm*43mm T=3.0mm 材質：鋁 C22B01H200-00,,同潤,
3,MHHCQ01001032F10,HS1,1,散熱器,L型散熱器  38mm*58mm*44.5mm T=3.0mm 材質：鋁 C22B01H300-02,,同潤,
3,MHHCQ01001042F10,HS2,1,散熱器,L型散熱器  35.5mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H400-02,,同潤,
3,MHHCQ01001052F10,HS3,1,散熱器,L型散熱器  50mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H500-02,,同潤,
3,WNW01028MX00011T,L,1,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  棕色,,恒輝鑫,
3,WNW01028MX00011T,N,1,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  藍色,,恒輝鑫,
3,WNW01014MX00011T,FG,1,電子線,1430  16AWG 135mm 一端加187端子  另一端加圓環端子 4.3*8.0 黃綠色,,恒輝鑫,
3,MBNCMNPRT0010N10,CM11,1,套管.LED支架,UL熱縮套管  ￠35*43mm 黑色  125℃,,,
3,MBNCMNPRT0020N10,CM12/套DC線/LN線,3,套管.LED支架,UL熱縮套管  ￠30*35mm 黑色  125℃,,,
3,MBNCMNPRT0030N10,套地線,1,套管.LED支架,UL熱縮套管  ￠25*35mm 黑色  125℃,,,
3,2200700900500HF0,Q11 D級（中間pin腳）/D11兩腳 / CY19 /CY20,5,電感,"空芯磁珠 25M 20Ω,100M 60Ω ￠4.1*2.0*4mm",N80RH041040016 ,峰磁,
3,2201601030500HF0,CM11,1,電感,共差模電感 0.6T*2.0mm 1UEW 扁平線 30TS L=5mH MIN,IN3433-B,詠騰,
3,2201201040500HFT,CM12,1,電感,共模電感 T31*16*8，R10K，￠1.4mm*9.5Ts L＞1mH 加熱縮套管,LCL-13109 HA,晨朗,
3,2201201070500HFT,CM20,1,電感,共模電感 鎳鋅/800ui/19*11*11mm，￠1mm*3Ts，L＞10uH,YT-506010uH,詠騰,
3,2200201050300HFT,L10,1,電感,環形電感 BS130060 USTC￠0.1*130*61.5Ts  L=235μH±10%,LH231A HA,晨朗,
3,2200201060300HFT,L11,1,電感,環形電感 BS130060×2 USTC￠0.1*130*61.5Ts  L=470μH±10%,LH471B HA,晨朗,
3,2200701070500HF0,套地線繞一圈,1,電感,環形EMI電感 19*11*11mm （25Mhz25 (MIN) OHM）/（100MHz55 (MIN) OHM）材質：鎳鋅鐵芯/800ui,A8I190110110,詠騰,
3,2200701330500HF0,LN線3圈,1,電感,環形EMI電感 25*12*15mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,A8I250120150,詠騰,
3,2200701340500HF0,LN線3圈,0,電感,環形EMI電感 28*13*16mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,N80RI280130160,銓芯,
3,C06254MSDIP00N00,SCN10,1,插頭.插座,排針端子 單排單塑排針 排針間距2.54mm  1*6P,,潤煌,
3,C02250FSCLP00N00,,1,插頭.插座,NTC線組 10KΩ±1% B25/50=3950K±1% / AWG24 線長170mm / JST XH 2.5mm 2P,,業茂,
3,C02250MSDIP00N00,SNTC10、SCN13,2,插頭.插座,XH-2A 2.5mm 立式 白色,XH-2A ,JST,
3,C03250MSDIP00N00,SCN11.SCN12,2,插頭.插座,XH-3A 2.5mm 立式 白色,XH-3A ,JST,
3,C03250MSDIP00N00,SLED10,1,插頭.插座,XH-3A 2.5mm 立式 紅色,XH-3A ,JST,
3,SMM030L05PJ01010,鎖熱片C22B01H100-01、Q12、Q13、Q11、Q16、Q14、Q22、Q17、Q18,18,五金件,"螺絲/PM3*5mm/圓頭/碳鋼,鍍鎳",,瑩邦,
3,SMM030L06PJ01010,鎖BD10,1,五金件,"螺絲/PM3*6mm/圓頭/碳鋼,鍍鋅",,瑩邦,
3,SMM030L08PJ01010,鎖D11,1,五金件,"螺絲/PM3*8mm/圓頭/碳鋼,鍍鋅",,瑩邦,
3,772SLD6200000HF0,,0.03,白膠,單租分室溫硫化矽橡膠 導熱係數2,SLD-6200,新亞,
3,WNW02015XX00011T,,1,DC線,AWG12 1015 輸出線 150mm 一端撥4mm鍍錫3mm 另一端接TW60-M端子,TW2507006,萬旭,
2,882S254040201000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W BS BD,,,
3,1010302531101HF0,,1,PCB,S25404-02 70*48*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,,啟懋,
3,103014K702241HF0,"R1, R2, R10",3,貼片電阻,4.7K±5% 0805 1/8W,,業茂,
3,1030110K02241HF0,"R13, R16, R18",3,貼片電阻,10K±5% 0805 1/8W,,業茂,
3,10301100R2241HF0,R19,1,貼片電阻,100Ω±5% 0805 1/8W,,業茂,
3,1030120R02320HF0,"R20, R21, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34",13,貼片電阻,20Ω±1% 1206 1/4W,,業茂,
3,10301470R2240HF0,R37,1,貼片電阻,470Ω±5% 0805 1/8W,,業茂,
3,1030120R02620HF0,"R46, R48, R50, R52, R54, R56, R58, R60, R62, R64, R66, R68",12,貼片電阻,厚膜高功率晶片電阻 20Ω 1% 2512 2W,,業茂,
3,1030100R02341HF0,"R88, R89",2,貼片電阻,0Ω±5% 1206 1/4W,,業茂,
3,10301100K2240HF0,R38,1,貼片電阻,100K±5% 0805 1/8W,,業茂,
3,103011K002241HF0,"R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85",12,貼片電阻,1K±5% 0805 1/8W,,業茂,
3,1026100NK9061HF0,"C3, C7",2,貼片電容,104K/50V±10% X7R 0805,,業茂,
3,102604U7K9060HF0,"C4, C5, C8",3,貼片電容,475K/50V±10% X5R 0805,,業茂,
3,1026220NK9060HF0,"C9, C10, C11, C12, C14, C15, C16, C17, C19, C20, C21, C22, C23",13,貼片電容,224K/50V±10% X7R 0805,,業茂,
3,1030100R02241HF0,"C13, C18",2,貼片電容,0Ω±5% 0805 1/8W,,業茂,
3,102601U0K9061HF0,C26,1,貼片電容,105K/50V±10% X7R 0805,,業茂,
3,1040100955900HFT,"D3, D4",2,貼片二極管,Schottky Diode 1A/100V SOD-123FL,K110,矽潤,
3,1050200330201HFT,Q10,1,貼片三極管,NPN 1A/100V 1W SOT-89,FCX493U,Formosa MS,
3,1040502040600HFT,"ZD15, ZD16, ZD17, ZD18, ZD19, ZD20, ZD21, ZD22, ZD23, ZD24, ZD25, ZD26",12,穩壓二極管(貼片式),Zener Diodes 10V 0.5W SOD-123 ,MM1Z10,矽潤,
3,1130100020211HF0,"PC10,PC11",2,光耦合器(貼片式),PHOTOCOUPLER CTR:200 to 400% SSOP-4,EL3H7(C)(TA)-G,億光,
3,1080101581200HFT,"Q15, Q16, Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26",12,場效應管(貼片式),N-MOS 5.1A/20V SOT-23,LM20260NLI3A,Lead Power,
3,1070202124900HFT,U1,1,貼片IC,MCU  HT45F5Q-3 24 SSOP-A,HT45F5Q-3,HOLTEK,
3,1070202745800HFT,U2,1,貼片IC,3-Series to 16-Series Battery Monitor IC TQFP,BQ7695202,TI,
3,1040603490000HFT,"LED1, LED2",2,LED燈,￠5 紅綠雙色共陽極  3P 白色霧面,YJ-3009UEUGW1/A,億晶,
3,CXX254MSDIP00N00,CN2,1,插頭.插座,排針端子 單排單塑排針 間距2.54mm 1*6P,,潤煌,
3,C02250MSDIP00N00,"CN3,CN5",2,插頭.插座,XH-2A 1*2P 2.5mm 立式 白色,XH-2A ,JST,
3,C03250MSDIP00N00,CN1,1,插頭.插座,XH-3A 1*3P 2.5mm 立式 白色,XH-3A ,JST,
3,C13250MSDIP00N00,CN6,1,插頭.插座,XH-13A 1*13P 2.5mm 立式 白色,XH-13A,JST,
2,822S254010001000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W TW60 BD,,,
3,1010302531102HF0,,1,PCB,S25401-00 45*25*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,,啟懋,
3,C02720MSDIP00N00,CN10,1,插頭.插座,板端連接器 TW60B-M ,TW60B-M,世宇,
3,C02720FMDIP00N00,CN11,1,插頭.插座,板端連接器 TW60B-F,TW60B-F,世宇,
